,0,1,2,3,4,5,6
BALANCE,0.042612700005231326,0.8138528629333145,-0.2755755751623435,0.10894438868843911,0.20497205965631818,0.032624365131057854,-0.2079941129576548
BALANCE_FREQUENCY,0.1901304758927828,0.3443253841828124,-0.5322905522107109,-0.08379640353521274,-0.23366270215130674,-0.40041221120720155,0.21404550147769275
PURCHASES,0.9214731654565638,0.19261134636923355,0.04498977082433888,0.1836869300943214,-0.07978845955796393,0.13926629838258175,0.026268716425239036
ONEOFF_PURCHASES,0.776629043066178,0.20066324537822777,0.1319978581393479,0.4397703663177417,-0.22702096662485824,0.009869115760054167,-0.01466265954084095
INSTALLMENTS_PURCHASES,0.7505339865432967,0.0777012474118083,-0.1121739712728904,-0.3250037468788662,0.16768842298121595,0.24833585016519077,0.07946189987090808
CASH_ADVANCE,-0.24049900193985155,0.8311405423794627,0.29532629232967683,-0.22886500690354622,0.000255516712295586,-0.04116021820299054,-0.04753114303501469
PURCHASES_FREQUENCY,0.739535485378173,-0.1665288305686414,-0.20640655906994168,-0.4520033934764251,-0.09499952794450885,-0.14349964428223444,-0.07264130657252621
ONEOFF_PURCHASES_FREQUENCY,0.6731100101893205,0.09378126152640555,0.04993193064205851,0.31091017168560664,-0.3435028126410316,-0.29658994885264794,-0.09845548209655414
PURCHASES_INSTALLMENTS_FREQUENCY,0.6227581858249349,-0.15901480733845832,-0.2569115119465333,-0.6525662139883542,0.08462204514032551,0.020581476065294542,0.001991607646861414
CASH_ADVANCE_FREQUENCY,-0.3312644636786079,0.7577741519645771,0.10550816574053497,-0.1668606967803997,-0.28717771388821123,-0.06679671704793169,0.10455765062315395
CASH_ADVANCE_TRX,-0.26417482789343877,0.7687082148183135,0.1453303972802482,-0.21912799875723735,-0.22256160571648162,-0.10380581705335022,0.10701899027045393
PURCHASES_TRX,0.8678817400060632,0.12498276883550298,-0.11511669340246532,-0.08562483723656142,-0.07577697047659601,0.024742704615682353,0.023216167176271424
CREDIT_LIMIT,0.36609726668573844,0.469649052257102,0.23775297923722427,0.1051877105473392,0.3627869092351607,-0.22258908528299204,-0.4684105183800025
PAYMENTS,0.465202452041607,0.5569236751033128,0.36671125065888005,0.04256075518905873,0.1762409103532028,0.09287766688958485,0.19326526184720508
MINIMUM_PAYMENTS,0.05704050226685945,0.5186312904728847,-0.42639494709913583,0.05948163877474274,0.34998962042358484,0.3379377402558143,-0.09350626523703431
PRC_FULL_PAYMENT,0.3423374443992452,-0.3106405630363043,0.41226416511963654,-0.29464965071225957,0.0048197651092734,-0.17216232634892925,-0.04200278078591986
TENURE,0.16895341838502526,0.024927045114043377,-0.15779534100413928,0.17974392794360958,0.5978940069583859,-0.5640795639048173,0.34731587453881535
Monthly_average_purchase,0.9214731654565638,0.19261134636923355,0.044989770824338644,0.18368693009432135,-0.07978845955796393,0.1392662983825819,0.026268716425238904
Monthly_cash_advance,-0.24049900193985155,0.8311405423794627,0.29532629232967683,-0.22886500690354614,0.000255516712295823,-0.04116021820299048,-0.04753114303501469
Limit_usage,-0.2269128657558862,0.519842172578303,-0.6238799844989771,0.16295415918384568,-0.1058844980897338,0.15713228506254218,0.28387165496308564
Pay_Min_Pay,0.21017041366338698,-0.025354697293929297,0.5552116437783667,0.016088573427937472,0.1544781219069435,0.16679175075899846,0.557523742061904
