,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8950.0,6267.0,1158.0,1525.0,5787.0,1112.0,683.0,1368.0,939.0,2376.0,665.0,3805.0,1165.0,3445.0,392.0,1109.0,1273.0,2089.0,642.0,2938.0,1245.0,653.0,1287.0,379.0,552.0,1896.0,548.0,1897.0,267.0,692.0,643.0,901.0,2738.0,1264.0
Seg_Pct,1.0,0.7002234636871508,0.1293854748603352,0.17039106145251395,0.6465921787709498,0.12424581005586592,0.07631284916201117,0.15284916201117318,0.10491620111731843,0.2654748603351955,0.07430167597765364,0.4251396648044693,0.13016759776536313,0.38491620111731845,0.04379888268156425,0.12391061452513967,0.1422346368715084,0.23340782122905027,0.071731843575419,0.328268156424581,0.13910614525139664,0.0729608938547486,0.14379888268156424,0.0423463687150838,0.06167597765363129,0.2118435754189944,0.06122905027932961,0.21195530726256984,0.02983240223463687,0.07731843575418994,0.07184357541899442,0.10067039106145251,0.3059217877094972,0.1412290502793296
BALANCE,1541.0467067617985,948.3007233649457,2179.6246216226236,3492.0407084268813,996.5222618143057,2195.25665675989,798.0132293085205,3683.7172941988297,2301.8432383652807,878.0321431408993,805.9679939604805,1176.922208264814,3888.9056945570815,1226.1019740542883,3101.637377339282,3913.6675108106374,1429.1143799258334,797.1393519572898,822.2132268079748,926.5337531784794,1435.949414756294,817.4100825003366,2673.6256022952584,3126.5634616886505,4660.981465201088,817.4581131384064,4660.159269492703,763.4032894575688,3275.237071700377,2067.2481764104036,829.1240094879001,1143.1247710745617,910.5270867758179,2713.0501179462017
BALANCE_FREQUENCY,0.8780833200000044,0.8439798795276856,0.9772478808290145,0.9429316478688522,0.852482675825127,0.9776726483812939,0.7808521918008792,0.953972541666666,0.977971420660276,0.9161382668350141,0.7783414240601507,0.8226379429697765,0.9579842128755353,0.8114582644412196,0.9875908392857137,0.9603465581605037,0.9588578460329912,0.906834779798944,0.7729099034267914,0.7835513063308371,0.9602107638554203,0.7756080336906587,0.938248858585858,0.9874050606860152,0.9659161014492745,0.9176682710970445,0.9656673138686126,0.9128698993147053,0.9851293932584269,0.9823327283236989,0.7731550746500779,0.9278728201997765,0.7804668268809352,0.937556752373417
PURCHASES,936.2292368715101,517.4737545875217,3924.184343696032,388.2217573770497,533.9197217902191,4010.77820143885,391.2798096632505,410.98594298245666,4351.983567625132,971.543480639729,386.4161804511278,320.5272352168196,435.8617167381977,234.19649346879558,6342.738112244911,457.20406672678115,2037.4167007069927,837.6507659167058,366.92864485981306,276.9219434989792,2071.3285140562257,369.6206891271056,201.83149184149167,6411.503588390515,702.2551630434785,879.8137394514746,672.9150729927009,829.3512018977318,7196.198426966304,3074.1931791907546,368.97479004665627,1410.8652608213097,227.25788166544973,203.9682357594935
ONEOFF_PURCHASES,536.4937740782138,228.47049465453915,2597.8684022452494,237.02496931147545,234.93721271816096,2655.7541005395688,216.83808199121518,249.07796652046798,2952.305739936102,252.40587121212155,221.9758796992481,255.61063074901466,265.6441443776823,171.284148040639,4339.872596938773,278.13474301172215,1409.570298507463,130.27023456199146,210.81992211837994,192.95648059904744,1435.1933092369484,209.87473200612547,124.20624708624702,4390.757677572557,435.1848880434779,130.1036972573839,414.11755474452525,127.02474960463883,5077.437707865169,1677.7807658959532,212.35609642301696,1246.920410654828,146.15702702702742,124.06530854430375
INSTALLMENTS_PURCHASES,384.4983681564239,288.58482431785495,1212.703523747842,149.76302983606564,298.47752617936686,1236.71188893885,174.8809663250366,160.30967141812872,1261.6664840255594,716.8614124579116,164.89142857142858,65.05205256241784,168.34076437768246,63.061947750362826,1732.6278125,179.160316050496,610.7123766692848,702.8120806606023,156.57601246105915,84.14088155207618,619.9769678714855,160.20537519142417,77.70424242424238,1747.2741754617416,262.9250733695652,743.7827726793229,258.7961322992701,700.6353840274104,1768.4318707865182,1337.7541351156076,157.08525660964227,164.31549389567135,81.18501460920379,79.98336234177211
CASH_ADVANCE,935.9209721677079,334.34930759199005,432.2880330649396,3790.515441267408,325.8276267594611,429.5212027510791,954.3990691988282,3919.1857332763116,453.08148426964846,173.4434858417508,958.2896822147362,517.6994383487513,4233.337736671245,588.9850151970967,557.2638924464287,4312.324259309467,287.59414008719574,165.49392277501192,988.7852478595012,281.7491219091219,299.58851201285154,991.2011541895862,2234.0936770208236,497.97631745224277,5724.1235639003735,160.7299238802742,5713.825442035048,151.44444386452298,616.2638537423221,396.70084723265904,1006.6164131972002,217.86528049056594,302.2358755799855,2253.0807078123416
PURCHASES_FREQUENCY,0.4903505483798885,0.4676776669858,0.9268700328151978,0.2520563744262293,0.4680781200967703,0.9280950431654666,0.4305782122986822,0.25858385964912267,0.9249911427050048,0.8734514890572382,0.4296306210526314,0.2222143563731945,0.2691158781115878,0.15973563338171237,0.9434407984693882,0.27464983408476107,0.858205401413982,0.8650654581139297,0.4117063457943924,0.1991944213750852,0.8647718313253004,0.42223923430321575,0.15407884304584338,0.9445790501319267,0.35800601630434803,0.8951090696202524,0.35331993065693446,0.8872249235635206,0.936397692883895,0.956936442196531,0.4134266423017106,0.7248881809101003,0.17660530788896953,0.15603741218354464
ONEOFF_PURCHASES_FREQUENCY,0.20245768357542138,0.1273429104834864,0.7190580690846284,0.118864920655738,0.1315869604285481,0.7246297589928052,0.11448556661786241,0.12172558040935695,0.7605395367412138,0.1347659894781145,0.11537473383458649,0.1450462165571612,0.12791467811158802,0.08063577532656081,0.7953424744897964,0.1294745428313796,0.6840095035349573,0.06620051460028716,0.10873447196261686,0.08987899931926546,0.6931046666666673,0.1082275803981624,0.06667527272727272,0.7933797255936678,0.1822984963768116,0.06709550949367074,0.17921916788321166,0.06592970057986282,0.8173362921348313,0.6294190462427749,0.10956514463452571,0.660067109877913,0.06830350766983243,0.06546115031645573
